date,avg_open
1972,0.02358857740585778
1973,0.0496250000000001
1974,0.06942826086956524
1975,0.0906941897233202
1976,0.1389219841269842
1977,0.1070639682539681
1978,0.1253368253968252
1979,0.21355837944664016
1980,0.31943197628458475
1981,0.2727660714285716
1982,0.26427999999999974
1983,0.5453232806324115
1984,0.5436464031620547
1985,0.455253438735179
1986,0.39979332015810354
1987,0.6991752569169963
1988,0.7167550988142289
1989,0.7389115079365078
1990,0.9828138339920937
1991,1.1559671936758888
1992,1.5319224409448826
1993,2.8866513833992102
1994,3.135264285714283
1995,5.506659920634919
1996,8.116126377952753
1997,15.892332015810275
1998,17.018083333333337
1999,27.46489641434263
2000,44.55589285714287
2001,23.37
2002,18.70841666666665
2003,18.91192857142858
2004,20.54748412698412
2005,19.987484126984103
2006,16.01056175298805
2007,18.756175298804774
2008,16.01763241106719
2009,13.70856349206348
2010,16.668281746031745
2011,17.858035714285716
2012,20.902491999999988
2013,20.071694444444457
2014,27.35317460317462
2015,29.85131349206349
2016,31.949563492063493
2017,36.17332568807341
