date,avg_open
1986,0.08840504901960795
1987,0.25620667984189677
1988,0.29010225296442627
1989,0.3271143253968247
1990,0.6492358102766794
1991,1.2078640316205544
1992,1.8864248031496058
1993,1.9632343873517784
1994,2.409270634920635
1995,3.9050865079365096
1996,5.669309448818899
1997,11.370392885375498
1998,18.47451394422311
1999,32.94635856573708
2000,28.752583333333337
2001,23.4693064516129
2002,20.532785714285723
2003,19.659253968253967
2004,20.718111111111106
2005,21.688432539682555
2006,22.018517928286855
2007,25.507386454183244
2008,22.385442687747023
2009,19.226202380952365
2010,22.700499999999995
2011,22.004650793650796
2012,25.868044000000012
2013,29.013761904761925
2014,39.050376984127006
2015,44.08184126984126
2016,53.61304365079369
2017,69.6280137614679
